('192.168.172.236', 0),45:00:00:3D:50:44,40:00:80:11:E5:98,43200
('192.168.172.236', 0),45:00:01:69:50:45,40:00:80:11:E4:6B,43200
('172.217.170.100', 0),45:00:00:35:00:00,40:00:33:11:82:E5,55724
('192.168.172.236', 0),45:00:00:42:99:8D,00:00:80:11:C6:AF,43200
('192.168.172.48', 0),45:00:00:7C:73:F8,40:00:40:11:EC:0A,43200
('192.168.172.236', 0),45:00:04:FE:78:AE,40:00:80:11:B8:AE,43200
('192.168.172.236', 0),45:00:00:38:99:8E,00:00:80:11:C6:B8,43200
('192.168.172.236', 0),45:00:00:28:71:C0,40:00:80:06:0C:C0,43200
('40.77.226.250', 0),45:00:00:28:A0:FD,40:00:68:06:F8:F5,19752
('172.217.170.100', 0),45:00:00:37:00:00,40:00:33:11:82:E3,55724
('192.168.172.48', 0),45:00:00:48:74:09,40:00:40:11:EC:2D,43200
('192.168.172.236', 0),45:00:00:34:F4:83,40:00:80:06:41:83,43200
('192.168.172.236', 0),45:00:00:3D:50:46,40:00:80:11:E5:96,43200
('172.217.170.35', 0),45:00:04:FE:00:00,40:00:33:11:7E:5D,55724
('192.168.172.236', 0),45:00:00:28:31:BE,40:00:80:06:A5:6F,43200
('192.168.172.236', 0),45:00:00:28:F4:84,40:00:80:06:41:8E,43200
('172.217.170.78', 0),45:00:00:28:70:2B,00:00:33:06:52:E8,55724
('172.217.170.35', 0),45:00:04:FE:00:00,40:00:33:11:7E:5D,55724
('192.168.172.236', 0),45:00:04:FE:78:B0,40:00:80:11:B8:AC,43200
('192.168.172.236', 0),45:00:00:3D:78:B1,40:00:80:11:BD:6C,43200
('192.168.172.236', 0),45:00:01:B0:78:B3,40:00:80:11:BB:F7,43200
('172.217.170.100', 0),45:00:00:5B:00:00,40:00:33:11:82:BF,55724
('40.124.12.194', 0),45:00:00:28:E4:B9,40:00:63:06:90:43,31784
('192.168.172.236', 0),45:00:00:3F:50:47,40:00:80:11:E5:93,43200
('172.217.170.35', 0),45:00:00:37:00:00,40:00:33:11:83:24,55724
('192.168.172.236', 0),45:00:00:3D:50:48,40:00:80:11:E5:94,43200
('172.217.170.35', 0),45:00:00:68:00:00,40:00:33:11:82:F3,55724
('172.217.170.35', 0),45:00:00:35:00:00,40:00:33:11:83:26,55724
('172.217.170.35', 0),45:00:00:35:00:00,40:00:33:11:83:26,55724
